listing_slug,listing_name,category,sort_order,kind,image_filename,recommended_alt_text,width,height
northwind-plumbing-practice,Northwind Plumbing Practice,Plumbing,0,thumbnail,northwind-plumbing-practice-kitchen-fixture-update-01.svg,"Fictional plumbing portfolio concept for Northwind Plumbing Practice, showing a completed kitchen sink and faucet update with orderly plumbing.",1200,900
northwind-plumbing-practice,Northwind Plumbing Practice,Plumbing,1,portfolio,northwind-plumbing-practice-bath-fixture-update-02.svg,"Fictional plumbing portfolio concept for Northwind Plumbing Practice, showing a bright bathroom with updated shower and tub fixtures.",1200,900
northwind-plumbing-practice,Northwind Plumbing Practice,Plumbing,2,portfolio,northwind-plumbing-practice-water-heater-support-03.svg,"Fictional plumbing portfolio concept for Northwind Plumbing Practice, showing a neatly installed residential water heater in a clean utility room.",1200,900
northwind-plumbing-practice,Northwind Plumbing Practice,Plumbing,3,portfolio,northwind-plumbing-practice-drain-assessment-04.svg,"Fictional plumbing portfolio concept for Northwind Plumbing Practice, showing a clean vanity basin and drain-assessment setting with intact fixtures.",1200,900
beacon-home-co,Beacon Home Co.,Home Cleaning,0,thumbnail,beacon-home-co-recurring-home-cleaning-01.svg,"Fictional home cleaning portfolio concept for Beacon Home Co., showing a freshly finished living room after recurring home cleaning.",1200,900
beacon-home-co,Beacon Home Co.,Home Cleaning,1,portfolio,beacon-home-co-deep-kitchen-cleaning-02.svg,"Fictional home cleaning portfolio concept for Beacon Home Co., showing a detailed bright kitchen with spotless counters and sink.",1200,900
beacon-home-co,Beacon Home Co.,Home Cleaning,2,portfolio,beacon-home-co-bathroom-cleaning-03.svg,"Fictional home cleaning portfolio concept for Beacon Home Co., showing a polished bathroom vanity, mirror and shower.",1200,900
bluebell-studio-collective,Bluebell Studio Collective,Pet Grooming,0,thumbnail,bluebell-studio-collective-bath-and-brush-01.svg,"Fictional pet grooming portfolio concept for Bluebell Studio Collective, showing a calm mixed-breed dog after a professional bath and brush.",1200,900
bluebell-studio-collective,Bluebell Studio Collective,Pet Grooming,1,portfolio,bluebell-studio-collective-full-groom-package-02.svg,"Fictional pet grooming portfolio concept for Bluebell Studio Collective, showing a comfortable small dog after a full groom.",1200,900
bluebell-studio-collective,Bluebell Studio Collective,Pet Grooming,2,portfolio,bluebell-studio-collective-nail-ear-care-03.svg,"Fictional pet grooming portfolio concept for Bluebell Studio Collective, showing a tidy nail and ear care setup with unbranded grooming tools.",1200,900
cornerstone-photography-workshop,Cornerstone Photography Workshop,Photography,0,thumbnail,cornerstone-photography-workshop-portrait-studio-01.svg,"Fictional photography portfolio concept for Cornerstone Photography Workshop, showing a neutral daylight portrait studio setup.",1200,900
cornerstone-photography-workshop,Cornerstone Photography Workshop,Photography,1,portfolio,cornerstone-photography-workshop-event-photography-02.svg,"Fictional photography portfolio concept for Cornerstone Photography Workshop, showing an elegant event-detail photography setting.",1200,900
cornerstone-photography-workshop,Cornerstone Photography Workshop,Photography,2,portfolio,cornerstone-photography-workshop-product-photography-03.svg,"Fictional photography portfolio concept for Cornerstone Photography Workshop, showing a refined ceramic product photography setup.",1200,900
cornerstone-photography-workshop,Cornerstone Photography Workshop,Photography,3,portfolio,cornerstone-photography-workshop-photography-workspace-04.svg,"Fictional photography portfolio concept for Cornerstone Photography Workshop, showing an organized photographer workspace with camera and contact sheets.",1200,900
beacon-studio-company,Beacon Studio Company,Web Design,0,thumbnail,beacon-studio-company-responsive-marketing-site-01.svg,"Fictional web design portfolio concept for Beacon Studio Company, showing a responsive fictional marketing site across three devices.",1200,900
lakeshore-services-services,Lakeshore Services Services,Handyman Services,0,thumbnail,lakeshore-services-services-mounting-and-installs-01.svg,"Fictional handyman services portfolio concept for Lakeshore Services Services, showing a completed entryway with sturdy wall hooks and a level floating shelf.",1200,900
cornerstone-home,Cornerstone Home,Heating and Cooling,0,thumbnail,cornerstone-home-system-installation-01.svg,"Fictional heating and cooling portfolio concept for Cornerstone Home, showing a finished residential air-handler and ductwork installation.",1200,900
cornerstone-home,Cornerstone Home,Heating and Cooling,1,portfolio,cornerstone-home-heat-pump-comfort-02.svg,"Fictional heating and cooling portfolio concept for Cornerstone Home, showing a wall-mounted heat-pump comfort system in a bright living room.",1200,900
waypoint-plumbing-group,Waypoint Plumbing Group,Plumbing,0,thumbnail,waypoint-plumbing-group-kitchen-fixture-update-01.svg,"Fictional plumbing portfolio concept for Waypoint Plumbing Group, showing a completed kitchen sink and faucet update with orderly plumbing.",1200,900
waypoint-plumbing-group,Waypoint Plumbing Group,Plumbing,1,portfolio,waypoint-plumbing-group-bath-fixture-update-02.svg,"Fictional plumbing portfolio concept for Waypoint Plumbing Group, showing a bright bathroom with updated shower and tub fixtures.",1200,900
greenfield-pro-practice,Greenfield Pro Practice,Landscaping,0,thumbnail,greenfield-pro-practice-garden-bed-refresh-01.svg,"Fictional landscaping portfolio concept for Greenfield Pro Practice, showing a completed native garden-bed refresh with a stone path.",1200,900
greenfield-pro-practice,Greenfield Pro Practice,Landscaping,1,portfolio,greenfield-pro-practice-lawn-care-02.svg,"Fictional landscaping portfolio concept for Greenfield Pro Practice, showing a healthy lawn with crisp professional edging.",1200,900
greenfield-pro-practice,Greenfield Pro Practice,Landscaping,2,portfolio,greenfield-pro-practice-raised-garden-refresh-03.svg,"Fictional landscaping portfolio concept for Greenfield Pro Practice, showing refreshed raised vegetable and herb beds.",1200,900
pinecrest-painting-services,Pinecrest Painting Services,Painting,0,thumbnail,pinecrest-painting-services-interior-painting-01.svg,"Fictional painting portfolio concept for Pinecrest Painting Services, showing a freshly completed olive living-room accent wall with crisp trim.",1200,900
pinecrest-painting-services,Pinecrest Painting Services,Painting,1,portfolio,pinecrest-painting-services-exterior-painting-02.svg,"Fictional painting portfolio concept for Pinecrest Painting Services, showing newly refreshed residential exterior siding and porch.",1200,900
pinecrest-painting-services,Pinecrest Painting Services,Painting,2,portfolio,pinecrest-painting-services-cabinet-refinishing-03.svg,"Fictional painting portfolio concept for Pinecrest Painting Services, showing completed warm-neutral kitchen cabinet refinishing.",1200,900
meadow-flooring-atelier,Meadow Flooring Atelier,Flooring,0,thumbnail,meadow-flooring-atelier-hardwood-installation-01.svg,"Fictional flooring portfolio concept for Meadow Flooring Atelier, showing a completed light-oak hardwood floor with natural grain.",1200,900
meadow-flooring-atelier,Meadow Flooring Atelier,Flooring,1,portfolio,meadow-flooring-atelier-tile-layout-02.svg,"Fictional flooring portfolio concept for Meadow Flooring Atelier, showing a large-format porcelain tile floor with clean grout lines.",1200,900
meadow-flooring-atelier,Meadow Flooring Atelier,Flooring,2,portfolio,meadow-flooring-atelier-stair-flooring-03.svg,"Fictional flooring portfolio concept for Meadow Flooring Atelier, showing precise hardwood stair treads and nosing.",1200,900
lakeshore-care-co,Lakeshore Care Co.,Auto Detailing,0,thumbnail,lakeshore-care-co-exterior-detailing-01.svg,"Fictional auto detailing portfolio concept for Lakeshore Care Co., showing a freshly detailed charcoal crossover exterior.",1200,900
